year_month,year,month_number,total_print_run,n_leaflets,mean_print_run,median_print_run,min_print_run,max_print_run,std_print_run,Q1,Q3,IQR,n_outliers,outliers,change_from_prev_month,pct_change_from_prev_month,cumulative_year,cumulative_total
1936-06,1936,6,21000,3,7000.0,6000.0,3000,12000,3741.7,4500,9000,4500,0,[],-11000,-34.4,147000,872350
1936-07,1936,7,24000,4,6000.0,5500.0,3000,10000,2549.5,4500,7000,2500,0,[],3000,14.3,171000,896350
1936-08,1936,8,2000,1,2000.0,2000.0,2000,2000,0.0,2000,2000,0,0,[],-22000,-91.7,173000,898350
1936-09,1936,9,13000,3,4333.3,5000.0,3000,5000,942.8,4000,5000,1000,0,[],11000,550.0,186000,911350
1936-10,1936,10,24000,4,6000.0,5000.0,4000,10000,2345.2,4750,6250,1500,1,[10000],11000,84.6,210000,935350
1936-11,1936,11,31500,6,5250.0,600.0,100,20000,7480.1,200,7750,7550,1,[20000],7500,31.2,241500,966850
1937-01,1937,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],-20500,-65.1,11000,977850
1937-04,1937,4,45000,6,7500.0,10000.0,2000,10000,3547.3,4750,10000,5250,0,[],34000,309.1,56000,1022850
1937-06,1937,6,11000,4,2750.0,3000.0,1000,4000,1299.0,1750,4000,2250,0,[],-34000,-75.6,67000,1033850
1937-07,1937,7,15000,4,3750.0,4000.0,2000,5000,1089.7,3500,4250,750,1,[2000],4000,36.4,82000,1048850
1937-08,1937,8,15000,1,15000.0,15000.0,15000,15000,0.0,15000,15000,0,0,[],0,0.0,97000,1063850
1937-09,1937,9,200,1,200.0,200.0,200,200,0.0,200,200,0,0,[],-14800,-98.7,97200,1064050
1937-10,1937,10,14000,6,2333.3,1000.0,1000,5000,1885.6,1000,4000,3000,0,[],13800,6900.0,111200,1078050
1937-11,1937,11,10000,2,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],-4000,-28.6,121200,1088050
1938-01,1938,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],1000,10.0,11000,1099050
1938-02,1938,2,10500,3,3500.0,5000.0,500,5000,2121.3,2750,5000,2250,0,[],-500,-4.5,21500,1109550
1938-03,1938,3,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],-500,-4.8,31500,1119550
1938-04,1938,4,22000,4,5500.0,5500.0,1000,10000,4500.0,1000,10000,9000,0,[],12000,120.0,53500,1141550
1938-05,1938,5,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-21000,-95.5,54500,1142550
1938-06,1938,6,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],9000,900.0,64500,1152550
1938-08,1938,8,5000,1,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],-5000,-50.0,69500,1157550
1938-09,1938,9,7000,2,3500.0,3500.0,2000,5000,1500.0,2750,4250,1500,0,[],2000,40.0,76500,1164550
1938-10,1938,10,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],4000,57.1,87500,1175550
1938-11,1938,11,500,1,500.0,500.0,500,500,0.0,500,500,0,0,[],-10500,-95.5,88000,1176050
1939-01,1939,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],10500,2100.0,11000,1187050
1939-03,1939,3,11000,5,2200.0,2000.0,1000,5000,1469.7,1000,2000,1000,1,[5000],0,0.0,22000,1198050
1939-04,1939,4,12000,2,6000.0,6000.0,6000,6000,0.0,6000,6000,0,0,[],1000,9.1,34000,1210050
1939-05,1939,5,9000,4,2250.0,1500.0,1000,5000,1600.8,1375,2375,1000,1,[5000],-3000,-25.0,43000,1219050
1939-09,1939,9,7000,3,2333.3,1000.0,1000,5000,1885.6,1000,3000,2000,0,[],-2000,-22.2,50000,1226050
1939-10,1939,10,19000,5,3800.0,5000.0,1000,5000,1600.0,3000,5000,2000,0,[],12000,171.4,69000,1245050
1939-11,1939,11,11500,8,1437.5,1000.0,200,6000,1753.5,825,1000,175,3,"[6000, 200, 300]",-7500,-39.5,80500,1256550
1939-12,1939,12,17000,3,5666.7,6000.0,1000,10000,3681.8,3500,8000,4500,0,[],5500,47.8,97500,1273550
1940-01,1940,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-16000,-94.1,1000,1274550
1940-02,1940,2,3000,3,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],2000,200.0,4000,1277550
1940-04,1940,4,12000,5,2400.0,1000.0,1000,6000,1959.6,1000,3000,2000,0,[],9000,300.0,16000,1289550
1940-05,1940,5,5000,5,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-7000,-58.3,21000,1294550
1940-06,1940,6,5000,5,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],0,0.0,26000,1299550
1940-07,1940,7,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-4000,-80.0,27000,1300550
